Id,SalePrice
1461,121769.336
1462,155696.02
1463,186210.36
1464,192936.73
1465,180142.6
1466,178510.58
1467,172586.89
1468,168647.22
1469,182871.1
1470,125763.555
1471,199879.02
1472,93321.15
1473,97120.68
1474,147452.66
1475,121135.8
1476,406793.2
1477,266874.53
1478,277266.2
1479,270714.62
1480,477608.97
1481,352670.28
1482,214938.89
1483,171462.31
1484,164636.8
1485,181183.83
1486,199184.03
1487,355145.38
1488,228257.28
1489,205558.86
1490,212002.66
1491,186929.31
1492,94386.24
1493,196488.48
1494,284039.3
1495,290019.88
1496,228483.22
1497,183238.08
1498,158043.33
1499,166280.25
1500,148946.92
1501,168605.78
1502,151839.06
1503,302100.12
1504,239386.7
1505,220782.83
1506,189939.48
1507,253041.55
1508,199832.83
1509,156277.39
1510,145415.95
1511,142444.48
1512,175058.62
1513,144827.3
1514,175201.02
1515,196225.73
1516,145029.92
1517,167899.31
1518,133827.25
1519,221343.23
1520,135396.03
1521,135452.53
1522,167646.31
1523,109521.766
1524,121835.33
1525,125394.59
1526,116887.945
1527,114042.71
1528,133196.98
1529,151387.66
1530,164670.6
1531,103908.82
1532,94506.19
1533,143984.03
1534,120838.63
1535,138676.62
1536,100497.27
1537,65845.8
1538,197617.56
1539,212651.97
1540,107656.48
1541,140323.48
1542,135826.73
1543,227421.88
1544,77433.84
1545,118840.14
1546,132335.48
1547,128366.67
1548,138778.34
1549,116335.65
1550,143801.1
1551,121708.125
1552,146627.9
1553,141108.03
1554,110604.29
1555,165250.23
1556,87172.64
1557,104246.016
1558,100016.555
1559,97530.77
1560,118925.25
1561,126597.41
1562,130126.35
1563,122211.16
1564,153779.03
1565,139762.3
1566,211028.22
1567,78825.08
1568,224560.38
1569,139748.03
1570,137265.0
1571,116043.91
1572,162361.2
1573,262709.03
1574,115618.55
1575,212505.53
1576,210599.72
1577,197993.97
1578,154610.97
1579,138180.34
1580,195327.98
1581,141655.33
1582,126480.875
1583,316780.3
1584,210637.66
1585,138801.72
1586,74913.26
1587,106655.305
1588,160678.23
1589,96956.15
1590,132551.98
1591,89502.93
1592,113343.875
1593,129579.4
1594,237075.02
1595,103710.89
1596,238188.4
1597,194671.16
1598,205677.14
1599,181638.06
1600,176801.16
1601,74219.875
1602,122377.21
1603,87158.36
1604,266947.38
1605,242951.97
1606,165223.94
1607,164729.27
1608,218094.97
1609,198141.78
1610,150811.02
1611,133261.84
1612,166949.95
1613,157839.94
1614,124175.18
1615,92228.54
1616,67178.49
1617,97864.42
1618,118217.37
1619,122102.734
1620,163026.9
1621,138255.83
1622,139211.02
1623,255648.7
1624,209414.66
1625,125200.37
1626,161685.2
1627,184694.95
1628,279063.1
1629,173333.81
1630,380585.56
1631,242558.9
1632,254259.61
1633,174624.73
1634,181259.3
1635,185107.6
1636,156749.66
1637,179849.02
1638,201407.77
1639,177055.44
1640,254550.56
1641,172932.95
1642,223950.66
1643,215010.62
1644,230601.67
1645,209074.28
1646,157998.47
1647,161456.08
1648,131593.58
1649,135187.0
1650,116897.805
1651,125114.586
1652,95566.75
1653,96254.01
1654,149072.36
1655,146462.72
1656,141380.7
1657,144617.9
1658,143578.14
1659,130665.63
1660,153730.75
1661,434598.25
1662,415612.56
1663,404652.97
1664,377518.47
1665,352240.34
1666,315921.94
1667,375903.25
1668,334260.06
1669,300335.25
1670,348106.16
1671,241670.27
1672,465521.75
1673,299745.97
1674,248879.73
1675,186904.75
1676,190103.95
1677,215098.25
1678,463630.66
1679,378555.9
1680,342838.25
1681,273779.03
1682,295743.25
1683,178135.17
1684,167617.22
1685,173113.08
1686,172615.08
1687,171572.58
1688,185696.89
1689,189639.05
1690,193520.62
1691,188424.6
