Id,SalePrice
1461,130210.81
1462,165716.66
1463,177528.64
1464,190863.23
1465,183367.17
1466,169032.78
1467,168733.47
1468,164205.33
1469,176482.92
1470,130996.22
1471,164414.81
1472,104063.23
1473,100840.72
1474,150520.9
1475,110988.49
1476,343807.7
1477,251226.67
1478,290435.25
1479,301332.97
1480,565372.4
1481,327046.34
1482,198391.72
1483,168452.67
1484,173503.31
1485,179942.1
1486,180183.4
1487,316470.47
1488,219559.38
1489,184135.39
1490,232581.69
1491,190221.84
1492,100626.44
1493,179093.95
1494,293216.94
1495,257528.77
1496,226196.42
1497,170879.48
1498,195874.02
1499,165468.45
1500,166898.39
1501,172925.45
1502,162064.1
1503,236733.69
1504,236315.6
1505,228698.03
1506,182252.17
1507,254579.19
1508,204761.11
1509,163437.83
1510,153165.61
1511,160257.67
1512,161430.86
1513,143056.88
1514,158915.7
1515,161937.25
1516,142324.2
1517,149953.17
1518,130583.84
1519,191010.67
1520,131979.56
1521,129510.61
1522,169451.06
1523,115358.164
1524,112632.88
1525,122239.836
1526,109561.375
1527,111365.14
1528,125291.61
1529,145778.8
1530,172932.39
1531,141751.66
1532,94774.914
1533,137730.05
1534,111056.04
1535,123975.78
1536,105231.08
1537,61797.844
1538,116666.25
1539,159368.92
1540,82220.75
1541,127031.52
1542,141981.47
1543,163988.05
1544,84093.16
1545,107196.99
1546,141766.77
1547,140246.88
1548,130944.03
1549,129162.61
1550,127120.234
1551,104001.58
1552,139462.81
1553,133478.67
1554,115732.77
1555,169424.4
1556,103215.55
1557,117011.44
1558,95442.53
1559,68351.46
1560,139556.53
1561,110477.55
1562,134718.08
1563,120708.35
1564,149497.81
1565,163466.16
1566,198555.23
1567,83869.99
1568,226085.45
1569,143564.06
1570,133694.9
1571,101347.42
1572,132547.05
1573,171457.94
1574,120130.41
1575,233489.11
1576,245582.25
1577,172591.44
1578,146039.19
1579,140624.34
1580,178959.84
1581,154928.67
1582,130069.86
1583,288045.25
1584,226907.48
1585,135573.1
1586,77685.73
1587,114113.52
1588,136866.16
1589,88513.914
1590,126238.266
1591,96590.21
1592,111123.06
1593,132254.05
1594,141506.36
1595,125621.31
1596,198271.31
1597,184817.58
1598,193758.48
1599,139996.16
1600,139362.3
1601,72743.99
1602,126401.35
1603,73418.0
1604,260092.48
1605,214883.42
1606,167923.2
1607,163976.72
1608,220910.19
1609,164579.77
1610,154121.44
